s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 1.01000E+002, 2.52766E+001, 2.58310E+001, 3.50907E+001, 2.64922E+001, 2.50113E+001, 2.51228E+001, 2.56917E+001, 1.80015E-002, 2.05082E-001, 1.47213E+002
 1.02001E+002, 2.52779E+001, 2.58344E+001, 3.50521E+001, 2.64082E+001, 2.50113E+001, 2.51305E+001, 2.57039E+001, 1.80015E-002, 2.05065E-001, 1.47687E+002
 1.03001E+002, 2.52793E+001, 2.58381E+001, 3.50251E+001, 2.63253E+001, 2.50113E+001, 2.51296E+001, 2.57177E+001, 1.80014E-002, 2.05049E-001, 1.48154E+002
 1.04002E+002, 2.52810E+001, 2.58411E+001, 3.47747E+001, 2.62648E+001, 2.50112E+001, 2.51215E+001, 2.57252E+001, 1.80014E-002, 2.05031E-001, 1.48600E+002
 1.05003E+002, 2.52829E+001, 2.58416E+001, 3.46354E+001, 2.62166E+001, 2.50112E+001, 2.51117E+001, 2.57210E+001, 1.80015E-002, 2.05011E-001, 1.49118E+002
 1.06004E+002, 2.52849E+001, 2.58423E+001, 3.45386E+001, 2.62982E+001, 2.50112E+001, 2.51047E+001, 2.57050E+001, 1.80014E-002, 2.04990E-001, 1.49641E+002
 1.07000E+002, 2.52870E+001, 2.58473E+001, 3.42353E+001, 2.63286E+001, 2.50112E+001, 2.51033E+001, 2.56795E+001, 1.80014E-002, 2.04969E-001, 1.50188E+002
 1.08001E+002, 2.52891E+001, 2.58571E+001, 3.40433E+001, 2.63570E+001, 2.50113E+001, 2.51089E+001, 2.56539E+001, 1.80014E-002, 2.04947E-001, 1.50750E+002
 1.09002E+002, 2.52911E+001, 2.58688E+001, 3.40736E+001, 2.64041E+001, 2.50114E+001, 2.51216E+001, 2.56417E+001, 1.80014E-002, 2.04922E-001, 1.51307E+002
 1.10002E+002, 2.52931E+001, 2.58779E+001, 3.40011E+001, 2.64836E+001, 2.50114E+001, 2.51389E+001, 2.56534E+001, 1.80015E-002, 2.04896E-001, 1.51866E+002
 1.11003E+002, 2.52950E+001, 2.58827E+001, 3.40943E+001, 2.65415E+001, 2.50115E+001, 2.51541E+001, 2.56801E+001, 1.80014E-002, 2.04868E-001, 1.52414E+002
 1.12004E+002, 2.52969E+001, 2.58838E+001, 3.41124E+001, 2.65988E+001, 2.50116E+001, 2.51585E+001, 2.57065E+001, 1.80015E-002, 2.04842E-001, 1.52955E+002
